activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
13205618,CHEMBL2363735,CHEMBL53463,IC50,83.45,nM,=,,,,7.08,,,,,CHEMBL1201861,1878450,CHEMBL1075391,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
13205619,CHEMBL2363735,CHEMBL44657,IC50,404.53,nM,=,,,,6.39,,,,,CHEMBL1201861,1878456,CHEMBL1075391,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
13205620,CHEMBL2363735,CHEMBL888,IC50,22.65,nM,=,,,,7.64,,,,,CHEMBL1201861,1878462,CHEMBL1075391,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
13205621,CHEMBL2363735,CHEMBL105,IC50,61.2,nM,=,,,,7.21,,,,,CHEMBL1201861,1878344,CHEMBL1075391,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
13205622,CHEMBL2363735,CHEMBL553025,IC50,3.024,nM,=,,,,8.52,,,,,CHEMBL1201861,1878386,CHEMBL1075391,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
13205623,CHEMBL2363735,CHEMBL512504,IC50,57832.56,nM,=,,,,4.24,,,,,CHEMBL1201861,1878396,CHEMBL1075391,N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O
13205625,CHEMBL2363735,CHEMBL409,IC50,41044.92,nM,=,,,,4.39,,,,,CHEMBL1201861,1878423,CHEMBL1075391,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
13205626,CHEMBL2363735,CHEMBL259181,IC50,14818.67,nM,=,,,,4.83,,,,,CHEMBL1201861,1878368,CHEMBL1075391,OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3c(c2)CCC3)nc2c1ncn2Cc1ccc(-c2ccccc2)cc1
13205627,CHEMBL2363735,CHEMBL608533,IC50,134.15,nM,=,,,,6.87,,,,,CHEMBL1201861,1878343,CHEMBL1075391,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
13205629,CHEMBL2363735,CHEMBL1171837,IC50,15803.29,nM,=,,,,4.8,,,,,CHEMBL1201861,1878407,CHEMBL1075391,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
13205630,CHEMBL2363735,CHEMBL2165191,IC50,14750.44,nM,=,,,,4.83,,,,,CHEMBL1201861,1878416,CHEMBL1075391,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1
13205631,CHEMBL2363735,CHEMBL585951,IC50,888.71,nM,=,,,,6.05,,,,,CHEMBL1201861,1878471,CHEMBL1075391,Fc1cc(-c2cc[nH]/c(=N/c3ccc(-n4cnc(N5CCOCC5)n4)cc3)n2)cc(N2CCOCC2)c1
13205632,CHEMBL2363735,CHEMBL1084546,IC50,2251.96,nM,=,,,,5.65,,,,,CHEMBL1201861,1878364,CHEMBL1075391,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O
13205634,CHEMBL2363735,CHEMBL135561,IC50,25590.52,nM,=,,,,4.59,,,,,CHEMBL1201861,1878458,CHEMBL1075391,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1ccccc1
13205635,CHEMBL2363735,CHEMBL9470,IC50,707.48,nM,=,,,,6.15,,,,,CHEMBL1201861,1878376,CHEMBL1075391,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O
13205636,CHEMBL2363735,CHEMBL258844,IC50,10285.48,nM,=,,,,4.99,,,,,CHEMBL1201861,1878405,CHEMBL1075391,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1
13205638,CHEMBL2363735,CHEMBL2363137,IC50,3407.46,nM,=,,,,5.47,,,,,CHEMBL1201861,1878457,CHEMBL1075391,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl
13205641,CHEMBL2363735,CHEMBL558642,IC50,6583.02,nM,=,,,,5.18,,,,,CHEMBL1201861,1878465,CHEMBL1075391,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1
13205642,CHEMBL2363735,CHEMBL1190711,IC50,10208.09,nM,=,,,,4.99,,,,,CHEMBL1201861,1878419,CHEMBL1075391,COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC
13205643,CHEMBL2363735,CHEMBL96926,IC50,3.192,nM,=,,,,8.5,,,,,CHEMBL1201861,1878382,CHEMBL1075391,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O
13205644,CHEMBL2363735,CHEMBL2107358,IC50,504.96,nM,=,,,,6.3,,,,,CHEMBL1201861,1878353,CHEMBL1075391,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O
13205645,CHEMBL2363735,CHEMBL575448,IC50,116.95,nM,=,,,,6.93,,,,,CHEMBL1201861,1878430,CHEMBL1075391,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1
13205646,CHEMBL2363735,CHEMBL1091644,IC50,903.52,nM,=,,,,6.04,,,,,CHEMBL1201861,1878354,CHEMBL1075391,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1
13205647,CHEMBL2363735,CHEMBL1023,IC50,76829.83,nM,=,,,,4.11,,,,,CHEMBL1201861,1878420,CHEMBL1075391,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
