molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL124577,EC50,0.26,nM,
CHEMBL99778,IC50,22.0,nM,
CHEMBL52801,IC50,3.0,nM,
CHEMBL95920,IC50,0.063,nM,
CHEMBL289233,IC50,0.005,nM,
CHEMBL421013,IC50,0.01,nM,
CHEMBL95366,IC50,6.5,nM,
CHEMBL99377,IC50,0.48,nM,
CHEMBL95851,IC50,7.9,nM,
CHEMBL316854,IC50,1.6,nM,
CHEMBL34730,IC50,0.04,nM,
CHEMBL95364,IC50,2.5,nM,
CHEMBL53015,IC50,1.4,nM,
CHEMBL421569,IC50,8.1,nM,
CHEMBL99376,IC50,1.2,nM,
CHEMBL322193,IC50,52.0,nM,
CHEMBL330385,IC50,1.0,nM,
CHEMBL95266,IC50,1.3,nM,
CHEMBL45,IC50,0.017,nM,
CHEMBL126417,Ki,5.3,nM,
CHEMBL15060,Ki,0.057,nM,
CHEMBL289233,Ki,0.021,nM,
CHEMBL127069,Ki,0.43,nM,
CHEMBL130759,Ki,0.63,nM,
CHEMBL14975,Ki,0.24,nM,
CHEMBL341392,Ki,0.21,nM,
CHEMBL33415,Ki,0.058,nM,
CHEMBL131281,Ki,18.0,nM,
CHEMBL340115,Ki,4.3,nM,
CHEMBL37549,Ki,2.2,nM,
CHEMBL34730,Ki,2.2,nM,
CHEMBL45,Ki,1.1,nM,
CHEMBL288301,Kd,2.42,l M-1,
CHEMBL1788358,Kd,3.3,l M-1,
CHEMBL290493,Kd,6.15,l M-1,
CHEMBL37721,Kd,1.95,l M-1,
CHEMBL34349,Kd,3.43,l M-1,
CHEMBL288300,Kd,2.33,l M-1,
CHEMBL417151,Kd,4.18,l M-1,
CHEMBL34348,Kd,4.99,l M-1,
CHEMBL37703,Kd,2.29,l M-1,
CHEMBL290568,Kd,1.13,l M-1,
CHEMBL10878,Kd,1.0,l M-1,
CHEMBL37771,Kd,2.19,l M-1,
CHEMBL285005,Kd,8.47,l M-1,
CHEMBL45,Kd,9.15,l M-1,
CHEMBL290646,Kd,1.59,l M-1,
CHEMBL37341,Kd,1.17,l M-1,
CHEMBL35017,Kd,2.83,l M-1,
CHEMBL37549,Kd,4.97,l M-1,
CHEMBL274358,Ki,0.216,nM,
CHEMBL45,Ki,0.0915,nM,
CHEMBL10878,Ki,0.1,nM,
CHEMBL10816,Ki,130.0,nM,
CHEMBL11328,Ki,6.17,nM,
CHEMBL11148,Ki,62.2,nM,
CHEMBL11404,Ki,0.78,nM,
CHEMBL11356,Ki,0.137,nM,
CHEMBL11416,Ki,13.9,nM,
CHEMBL291574,IC50,18000.0,nM,
CHEMBL291574,Ki,5000.0,nM,
CHEMBL33415,IC50,0.13,nM,
CHEMBL33415,Ki,0.036,nM,
CHEMBL62088,IC50,0.83,nM,
CHEMBL62088,Ki,0.23,nM,
CHEMBL34730,IC50,3.6,nM,
CHEMBL34730,Ki,0.99,nM,
CHEMBL45,IC50,2.2,nM,
CHEMBL45,Ki,0.61,nM,
CHEMBL45,IC50,2.98,nM,
CHEMBL45,IC50,13.1,nM,
CHEMBL303101,IC50,7100.0,nM,
CHEMBL303101,Ki,1900.0,nM,
CHEMBL292116,IC50,5400.0,nM,
CHEMBL292116,Ki,1500.0,nM,
